北京
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,87,2,良,PM10
2024-12-17,96,2,良,PM10
2024-12-18,86,2,良,PM10
2024-12-19,91,2,良,PM10
2024-12-20,88,2,良,PM10
海南
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,56,2,良,O3
2024-12-17,51,2,良,O3
2024-12-18,53,2,良,O3
2024-12-19,54,2,良,O3
2024-12-20,57,2,良,O3
四川
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,84,2,良,PM2.5
2024-12-17,105,3,轻度污染,PM2.5
2024-12-18,109,3,轻度污染,PM2.5
2024-12-19,69,2,良,PM2.5
2024-12-20,79,2,良,PM2.5
贵州
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,76,2,良,PM2.5
2024-12-17,86,2,良,PM2.5
2024-12-18,75,2,良,PM2.5
2024-12-19,70,2,良,PM2.5
2024-12-20,60,2,良,PM2.5
云南
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,41,1,优,NA
2024-12-17,32,1,优,NA
2024-12-18,33,1,优,NA
2024-12-19,33,1,优,NA
2024-12-20,36,1,优,NA
西藏
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,51,2,良,O3
2024-12-17,54,2,良,O3
2024-12-18,58,2,良,O3
2024-12-19,41,1,优,NA
2024-12-20,46,1,优,NA
陕西
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,97,2,良,PM2.5
2024-12-17,95,2,良,PM2.5
2024-12-18,138,3,轻度污染,PM2.5
2024-12-19,145,3,轻度污染,PM2.5
2024-12-20,120,3,轻度污染,PM2.5
甘肃
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,98,2,良,PM10
2024-12-17,89,2,良,PM10
2024-12-18,77,2,良,PM10
2024-12-19,67,2,良,PM10
2024-12-20,73,2,良,PM10
青海
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,77,2,良,PM10
2024-12-17,79,2,良,PM10
2024-12-18,77,2,良,PM10
2024-12-19,77,2,良,PM10
2024-12-20,79,2,良,PM10
宁夏
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,79,2,良,PM10
2024-12-17,76,2,良,PM10
2024-12-18,77,2,良,PM10
2024-12-19,76,2,良,PM10
2024-12-20,76,2,良,PM10
新疆
日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-16,122,3,轻度污染,PM2.5
2024-12-17,60,2,良,PM2.5
2024-12-18,85,2,良,PM2.5
2024-12-19,109,3,轻度污染,PM2.5
2024-12-20,120,3,轻度污染,PM2.5
