日期,空气质量指数,空气质量指数等级,空气质量指数级别,主要污染物
2024-12-19,77,2,良,PM2.5
2024-12-20,48,1,优,NA
2024-12-21,26,1,优,NA
2024-12-22,36,1,优,NA
2024-12-23,100,2,良,PM2.5
